country,period,n_art,deepseek,lexicon,lss,negativity,relations
Australia,1957-02-25,1,0,0,-0.471493,0,-3.4
Australia,1957-03-04,1,0,0,-1.070549,0,-3.4
Australia,1957-03-11,2,0.03,0,1.18071,0.75,-3.4
Australia,1957-03-18,1,0,0,-0.685412,0,-3.4
Australia,1957-03-25,0,0,0,0,0,-3.4
Australia,1957-04-01,0,0,0,0,0,-3.4
Australia,1957-04-08,0,0,0,0,0,-3.4
Australia,1957-04-15,0,0,0,0,0,-3.4
Australia,1957-04-22,1,0,0,0.497288,0,-3.4
Australia,1957-04-29,1,0,0,-0.065116,0,-3.4
Australia,1957-05-06,1,0,0,-0.259423,0.1,-3.4
Australia,1957-05-13,1,0,0,0.271272,0.1,-3.4
Australia,1957-05-20,1,0,0,0.312921,0.6,-3.4
Australia,1957-05-27,0,0,0,0,0,-3.4
Australia,1957-06-03,1,0,0,1.250817,0.3,-3.4
Australia,1957-06-10,0,0,0,0,0,-3.4
Australia,1957-06-17,3,0,0,0.645808666666667,0.133333333333333,-3.4
Australia,1957-06-24,3,0,0,0.318973333333333,0.0666666666666667,-3.4
Australia,1957-07-01,2,0,0,0.4402355,0.15,-3.4
Australia,1957-07-08,0,0,0,0,0,-3.4
Australia,1957-07-15,0,0,0,0,0,-3.4
Australia,1957-07-22,1,0,0,-0.565982,0.5,-3.4
Australia,1957-07-29,0,0,0,0,0,-3.4
Australia,1957-08-05,0,0,0,0,0,-3.4
Australia,1957-08-12,1,0,0,0.020512,0.3,-3.4
Australia,1957-08-19,3,0,0,0.40577,0.166666666666667,-3.4
Australia,1957-08-26,3,0,0,0.00445700000000001,0.0333333333333333,-3.4
Australia,1957-09-02,1,0,0,0.217504,0,-3.4
Australia,1957-09-09,1,0,0,-2.184836,0.1,-3.4
Australia,1957-09-16,0,0,0,0,0,-3.4
Australia,1957-09-23,1,0,0,0.284981,0,-3.4
Australia,1957-09-30,0,0,0,0,0,-3.4
Australia,1957-10-07,0,0,0,0,0,-3.4
Australia,1957-10-14,0,0,0,0,0,-3.4
Australia,1957-10-21,1,0,0,0.509797,0,-3.4
Australia,1957-10-28,0,0,0,0,0,-3.4
Australia,1957-11-04,0,0,0,0,0,-3.4
Australia,1957-11-11,0,0,0,0,0,-3.4
Australia,1957-11-18,1,0,0,0.851522,0.7,-3.4
Australia,1957-11-25,1,0,0,0.499453,0,-3.4
Australia,1957-12-02,1,0,0,0.346643,0.1,-3.4
Australia,1957-12-09,0,0,0,0,0,-3.4
Australia,1957-12-16,1,0,0,0.074508,0,-3.4
Australia,1957-12-23,0,0,0,0,0,-3.4
Australia,1957-12-30,0,0,0,0,0,-3.4
Australia,1958-01-06,1,0,0,0.108089,0,-3.4
Australia,1958-01-13,1,0,0,0.52843,0.1,-3.4
Australia,1958-01-20,0,0,0,0,0,-3.4
Australia,1958-01-27,1,0,0,0.314351,0.3,-3.4
Australia,1958-02-03,0,0,0,0,0,-3.4
Australia,1958-02-10,0,0,0,0,0,-3.4
Australia,1958-02-17,0,0,0,0,0,-3.4
Australia,1958-02-24,0,0,0,0,0,-3.4
Australia,1958-03-03,1,0.05,0,1.099178,0.8,-3.4
Australia,1958-03-10,3,0,0,1.34208833333333,0.85,-3.4
Australia,1958-03-17,0,0,0,0,0,-3.4
Australia,1958-03-24,0,0,0,0,0,-3.4
Australia,1958-03-31,1,0,0,0.337624,0.1,-3.4
