iso3,country,lat,lon
TZA,Tanzania,-6.26824779010462,34.801810641346
THA,Thailand,15.0825849519536,101.000648498299
TLS,Timor-Leste,-8.82932165792296,125.845107828387
TGO,Togo,8.52077978482272,0.963859659570659
TON,Tonga,-20.4205127569076,-174.801931197513
TTO,Trinidad & Tobago,10.4571725744873,-61.2659018508375
TUN,Tunisia,34.0889554864525,9.55612880162237
TUR,Turkey,39.137013310438,35.1728012164006
TKM,Turkmenistan,39.1254707099274,59.4464223598809
TUV,Tuvalu,-8.50345059320313,179.20556518701
UGA,Uganda,1.27423154739338,32.3686653695696
UKR,Ukraine,49.1956082317395,31.3155838484354
ARE,United Arab Emirates,23.905320327121,54.2926697735691
GBR,United Kingdom,54.0116497461288,-2.75814205633043
USA,United States,44.7437315908213,-103.629562809744
URY,Uruguay,-32.791340912445,-56.0252057376117
UZB,Uzbekistan,41.7754007525036,63.3030925523506
VUT,Vanuatu,-16.2169690328556,167.675345946174
VAT,Vatican City,41.9017498629169,12.433871744148
VEN,Venezuela,7.1222740774703,-66.1705444132272
VNM,Vietnam,16.5442975147679,106.34650781488
ESH,Western Sahara,24.2117292500608,-12.2714969932321
YEM,Yemen,15.91728068186,47.5677872552026
ZMB,Zambia,-13.4555254933089,27.8085818755982
ZWE,Zimbabwe,-18.9970468090672,29.8510133796762
