resolution,index,country,as_of,latest,ewma_baseline,alarm_3p,alarm_3p_alert,alarm_5p,alarm_5p_alert,cusum,cusum_alert
Daily,deepseek,Saudi Arabia,2026-07-20,0.0,0.0006,-0.15,NORMAL,-0.15,NORMAL,0.0,NORMAL
Daily,deepseek,Senegal,2026-07-20,0.0,0.0001,-0.04,NORMAL,-0.04,NORMAL,0.0,NORMAL
Daily,deepseek,Serbia,2026-07-20,0.0,0.0005,-0.14,NORMAL,-0.14,NORMAL,0.0,NORMAL
Daily,deepseek,Seychelles,2026-07-20,0.0,0.0001,-0.11,NORMAL,-0.11,NORMAL,3.39,YELLOW
Daily,deepseek,Sierra Leone,2026-07-20,0.0,0.0,-0.07,NORMAL,-0.07,NORMAL,0.0,NORMAL
Daily,deepseek,Singapore,2026-07-20,0.0,0.0007,-0.17,NORMAL,-0.17,NORMAL,0.0,NORMAL
Daily,deepseek,Slovakia,2026-07-20,0.0,0.0,-0.02,NORMAL,-0.02,NORMAL,0.0,NORMAL
Daily,deepseek,Slovenia,2026-07-20,0.0,0.0,-0.08,NORMAL,-0.08,NORMAL,0.0,NORMAL
Daily,deepseek,Solomon Islands,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Somalia,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,South Africa,2026-07-20,0.0,0.0007,-0.21,NORMAL,-0.21,NORMAL,0.0,NORMAL
Daily,deepseek,South Korea,2026-07-20,0.0,0.0013,-0.26,NORMAL,1.73,NORMAL,6.26,RED
Daily,deepseek,South Sudan,2026-07-20,0.0,0.0001,-0.04,NORMAL,-0.04,NORMAL,0.0,NORMAL
Daily,deepseek,Spain,2026-07-20,0.0,0.0004,-0.2,NORMAL,-0.2,NORMAL,0.0,NORMAL
Daily,deepseek,Sri Lanka,2026-07-20,0.0,0.0001,-0.1,NORMAL,-0.1,NORMAL,0.0,NORMAL
Daily,deepseek,St. Helena,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,St. Kitts & Nevis,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,St. Lucia,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,St. Vincent & Grenadines,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
